,importance
PC20,0.09134917352299265
PC10,0.06826228441504974
PC1,0.06121453208680119
PC11,0.0603394610445168
PC2,0.05959773951646793
PC8,0.05578845849344111
PC13,0.05164114330878694
PC17,0.04936354464645909
PC9,0.04851431962745509
PC19,0.046242253360337465
PC18,0.045365316816064705
PC15,0.04522095456349048
PC14,0.04477023663526747
PC7,0.044199173846557194
PC12,0.04188740946223008
PC5,0.04175684640421551
PC16,0.037400147281864936
PC3,0.03719450203248922
PC4,0.03583009843438204
PC6,0.03406240450113039
